response,id,wc,zwp,wi,dtj,bnf,qh,ent,sci,ypz,bw,tdt,sb,ox,xt,np,ku,is
N,165931,d,R,gnq,3.31662,J,1.61930552743807,A,1.35832092073752,11,0.31623,kc,s2,bf,fcc,j,y,0.24077
N,241964,b,S,gmz,0,K,1.46586988618388,A,1.42190672978026,11,0.44698,sm,s2,fy,ntb,j,v,3.7618
Y,387089,b,O,gmz,3.4641,J,2.01124778476809,A,1.42719948549478,14,0.44721,zp,s2,ix,ntb,j,u,2.4999
Y,433922,b,Q,gmz,3.31662,L,1.91561560293089,A,1.41013008069992,10,0.38729,sm,s2,bf,ntb,k,x,2.4771
N,175120,b,S,gmz,3.74166,J,1.74022396815532,A,1.36194822530906,1,0.31623,zp,s2,bf,ntb,j,z,4.1708
N,353214,e,R,gmz,2.23607,I,1.65642629884037,A,1.31305840790472,0,0.39988,zp,s2,jl,ntb,j,z,2.9425
N,458159,d,R,gmz,3.60555,J,1.82990561965774,A,1.33075581505796,1,0.37417,sm,s2,ix,ntb,j,y,5.5172
N,512275,d,S,gmz,3.16228,J,1.78817553485652,A,1.40841733918182,1,0.42427,zp,s2,bf,ntb,j,u,6.7463
Y,310008,d,N,gnq,3.4641,K,1.91097965883692,B,1.36674822318066,14,0.4,zp,s2,bf,ntb,j,w,3.3468
Y,91571,d,Q,gmz,3.16228,J,1.76528270975034,A,1.3435152531827,1,0.37417,zp,s2,jl,ntb,k,x,2.1939
N,545801,d,R,gmz,3.4641,K,1.82200625510996,A,1.35985669513123,1,0.37417,zp,s2,bf,ntb,k,y,3.1291
Y,109899,d,R,gmz,3.31662,J,1.70406712994292,A,1.32923906478392,14,0.31623,zp,s2,bf,mrm,j,y,1.5045
N,520696,d,N,gmz,2.23607,I,1.62045484494738,A,1.31700921587659,4,0.39975,zp,s2,fy,fcc,j,x,1.2043
N,51572,d,S,gmz,1.41421,L,1.52681027002837,A,1.39623401386159,1,0.31606,zp,s2,ix,fcc,j,w,0.167
N,112784,d,N,gmz,3.16228,K,1.6259756585229,A,1.35832092073752,11,0.31623,kc,s2,fy,ntb,j,x,1.7929
N,45966,b,S,gmz,3.60555,J,2.19763041792151,A,1.4,15,0.44721,sm,s2,bf,ntb,j,z,5.9408
N,583144,b,R,gmz,2.82843,J,1.67323709450449,A,1.36851749463161,14,0.4,zp,s2,jl,ntb,j,u,3.896
Y,304964,d,R,gmz,3.16228,J,1.66133830704771,A,1.3615241081238,0,0.31623,zp,s2,bf,ntb,j,z,0.86506
N,140132,e,N,gmz,1.73205,J,1.55300839561034,A,1.30330576054873,11,0.3156,sm,s2,bf,fcc,j,u,1.9748
N,58977,d,N,gmz,2.82843,L,1.61991379177107,A,1.36851749463161,14,0.31623,zp,s2,bf,ntb,j,y,3.0049
Y,326566,d,N,gnq,3.16228,I,1.65301943218782,A,1.35832092073752,11,0.31623,zp,s2,fy,ntb,j,y,0.18156
Y,130288,d,N,gmz,3.16228,K,1.98013415059569,A,1.32557493861855,15,0.42427,sm,s3,fy,ntb,j,w,5.5755
N,515538,b,O,gmz,3.31662,J,1.873756161173,A,1.42308450702091,0,0.4,kv,s2,bf,ntb,j,z,1.0377
Y,404374,d,V,gmz,3.74166,L,1.88861292174763,A,1.35985669513123,14,0.38729,zp,s2,bf,fcc,j,z,3.0149
Y,12042,d,R,gmz,1.73205,I,1.62085282393254,A,1.39850539948753,1,0.4238,zp,s8,bf,ntb,j,x,0.15678
N,137945,d,R,gmz,2.64575,K,1.58897967910701,A,1.36878405350482,11,0.31623,sm,s2,bf,ntb,j,z,3.8125
