TotalPopulation	LifeExpectancyM	LifeExpectancyF	LifeExpectancyB	HealthyLifeExpectancy	CHEperCapita	CHEpercGDP	MaternalMortality	BirthsSkilledPersonnel	ChildMortality	NeonatalMortality	Tuberculosis	HepatitisB	NTDinterventions	CVDcancerDiabetesCRD	Suicide	Alcohol	TrafficMortality	AdolescentBirth	UHCcoverageIndex	AirPollutionMortality	WASHmortality	PoisoningMortality	DTP3coverage	MCV2coverage	PhysicianDensity	NurseDensity	DentistDensity	PharmacistDensity	IHRCCS13	GGHEDGGE	CleanFuel	UrbanParticulate	NaturalDisaster	Homicide	MajorConflict
Afghanistan	34656	61	64.5	62.7	53	60	10.3	396	50	70.4	40	189	0.5	13275429	29.8	4.7	0.2	15.5	87	34	211.1	13.9	1.2	65	39	0.3	0.4	0	0	42	2	32	59.9	0.7	7.4	37.3
Albania	2926	74.3	78.6	76.4	68.1	266	6.8	29	99	13.5	6.2	16	1.29	21	17	6.3	7.5	15.1	18.9	62	68	0.2	0.4	98	98	1.3	3	0.3	0.8	46	9.5	77	18.2	0	4.2	0.1
Algeria	40606	75.4	77.4	76.4	65.5	292	7.1	140	97	25.2	15.6	70	0.22	0	14.2	3.2	0.9	23.8	9	76	49.7	1.9	0.8	91	96	1.2	1.9	0.3	0.2	75	10.7	93	34.5	0.1	4.2	0.7
Andorra	77	70.3	76.4	73.4	64.9	4316	12	54	97	2.7	1.1	6	0.08	0	18.8	7.9	11.3	7.6	44.35	65	68.6	1.3	0.6	98	90	3.7	4.4	0.9	1.2	29	18.5	95	11.5	0.1	5.2	0.1
Angola	28813	60.3	64.9	62.6	55.8	109	2.9	477	47	82.5	29.3	370	4.85	14419092	16.5	4.7	6.4	26.9	163	36	118.5	48.8	2.7	64	26	0.1	1.4	0.3	0.25	75	3.7	48	28.4	0.1	9.8	0.1
Antigua and Barbuda	101	72.5	77.5	75	67	657	4.8	54	100	8.5	3.8	3.4	0.38	176	22.6	0.5	7	6.7	44.35	75	29.9	0.1	0.4	99	87	1.5	3	0.3	0.25	71	14.9	95	18	0	1.8	0
Argentina	43847	73.5	80.3	76.9	68.4	998	6.8	52	100	11.1	6.2	24	0.01	80002	15.8	9.2	9.8	13.6	65.5	76	26.6	0.4	0.6	92	88	3.9	4.2	0.3	0.25	70	12.3	95	11.7	0.1	6.2	0.1
Armenia	2925	71.2	78.1	74.8	66.3	366	10.1	25	100	13.4	7.4	44	0.25	39149	22.3	6.6	5.5	18.3	24.3	67	54.8	0.2	0.6	94	97	2.8	5.4	0.4	0	95	6.1	95	32.9	0	2.4	0.1
Australia	24126	81	84.8	82.9	73	4934	9.4	6	100	3.7	2.2	6.1	0.15	20994	9.1	13.2	10.6	5.4	11.9	80	8.4	0.1	0.2	94	94	3.5	12.6	0.6	0.8	100	9.5	95	7.3	0.1	1.1	0.1
Austria	8712	79.4	84.2	81.9	72.4	4536	10.3	4	98	3.5	2.2	8.2	0.32	26	11.4	15.6	11.6	5.4	7.6	80	15.3	0.1	0.2	87	89	5.2	8.3	0.6	0.7	68	15.1	95	13.1	0.2	0.5	0.1
Azerbaijan	9725	70.3	75.7	73.1	64.9	368	6.7	25	100	30.9	18.1	66	0.27	1719031	22.2	2.6	0.8	10	52.8	64	63.9	1.1	0.6	97	98	3.4	6.9	0.3	0.2	84	4.1	95	18.5	0	2.4	0.8
Bahamas	391	72.6	78.6	75.7	66.8	1685	7.4	80	100	10.6	5.8	26	0.31	4077	15.5	1.7	4.4	13.8	32	72	19.9	0.1	0.1	94	74	2.3	4	0.4	0.8	78	14.2	95	19	0	29.7	0
Bahrain	1425	78.6	79.6	79.1	68.1	1190	5.2	15	100	7.6	3.1	12	0.18	3	11.3	5.9	1.9	8	14.3	72	40.1	0.1	0.2	99	99	0.9	2.5	0.2	0.2	93	9.5	95	69	0	0.8	0.3
Bangladesh	162952	71.1	74.4	72.7	63.3	32	2.6	176	50	34.2	20.1	221	1.38	47484224	21.6	5.9	0	13.6	78	46	149	11.9	0.3	97	93	0.5	0.3	0	0.6	78	2.8	18	58.6	0.1	2.9	0.1
Barbados	285	73.1	78	75.6	67	1160	7.5	27	99	12.3	7.9	1.2	0.34	1433	16.2	0.8	9.6	6.7	49.7	79	31.1	0.2	0.2	97	87	1.5	3	0.3	0.25	92	7.4	95	22.4	0	10	0
Belarus	9480	68.8	79.2	74.2	65.5	352	6.1	4	100	3.9	1.5	52	0.2	0	23.7	26.2	11.2	13.7	20.4	74	60.7	0.1	2.6	98	98	4.1	11.4	0.6	0.3	90	8.5	95	19.3	0	5.2	0.1
Belgium	11358	78.8	83.5	81.2	71.6	4228	10.5	7	97	3.9	2.2	10	0.18	20	11.4	20.7	12.1	6.7	6.6	80	15.7	0.3	0.2	98	85	3	11.1	0.7	1.2	83	16	95	13	0.1	1	0.1
Belize	367	67.9	73.4	70.5	62.5	301	6.2	28	97	14.9	10.3	38	1.49	7312	22.1	4.7	6.7	24.4	74	61	68.6	1	0.5	95	96	0.8	1.8	0	0.4	55	11.1	85	20.9	0	29.4	0
